Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 30, 38, 30, 38
0, 1, 56, 71, 56, 71
0, 2, 107, 135, 107, 135
0, 3, 154, 231, 154, 231
0, 4, 194, 325, 194, 325
0, 5, 222, 360, 222, 360
0, 6, 151, 271, 151, 271
0, 7, 57, 73, 57, 73
0, 8, 95, 121, 95, 121
0, 9, 135, 228, 135, 228
0, 10, 171, 309, 171, 309
0, 11, 239, 355, 239, 355
0, 12, 250, 360, 250, 360
0, 13, 61, 78, 61, 78
0, 14, 82, 105, 82, 105
0, 15, 98, 125, 98, 125
0, 16, 241, 384, 241, 384
0, 17, 329, 459, 329, 459
0, 18, 108, 194, 108, 194
0, 19, 243, 456, 243, 456
0, 20, 164, 529, 164, 529
0, 21, 299, 599, 299, 599
