Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 9, 12, 9, 12
0, 1, 33, 42, 33, 42
0, 2, 22, 29, 22, 29
0, 3, 71, 104, 71, 104
0, 4, 91, 185, 91, 185
0, 5, 121, 222, 121, 222
0, 6, 93, 159, 93, 159
0, 7, 143, 250, 143, 250
0, 8, 184, 397, 184, 397
0, 9, 176, 387, 176, 387
0, 10, 66, 236, 66, 236
0, 11, 132, 339, 132, 339
0, 12, 136, 440, 136, 440
0, 13, 150, 453, 150, 453
0, 14, 208, 435, 208, 435
0, 15, 244, 554, 244, 554
0, 16, 224, 552, 224, 552
0, 17, 268, 607, 268, 607
0, 18, 202, 508, 202, 508
0, 19, 199, 513, 199, 513
0, 20, 227, 628, 227, 628
0, 21, 270, 610, 270, 610
0, 22, 279, 687, 279, 687
0, 23, 355, 723, 355, 723
0, 24, 405, 786, 405, 786
