Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 10, 13, 10, 13
0, 1, 53, 67, 53, 67
0, 2, 77, 97, 77, 97
0, 3, 142, 227, 142, 227
0, 4, 182, 351, 182, 351
0, 5, 164, 328, 164, 328
0, 6, 111, 198, 111, 198
0, 7, 181, 286, 181, 286
0, 8, 240, 437, 240, 437
0, 9, 235, 431, 235, 431
0, 10, 88, 111, 88, 111
0, 11, 146, 303, 146, 303
0, 12, 184, 408, 184, 408
0, 13, 188, 413, 188, 413
0, 14, 244, 484, 244, 484
0, 15, 276, 531, 276, 531
0, 16, 127, 451, 127, 451
0, 17, 254, 604, 254, 604
0, 18, 245, 584, 245, 584
0, 19, 288, 634, 288, 634
0, 20, 228, 576, 228, 576
0, 21, 288, 714, 288, 714
0, 22, 253, 682, 253, 682
0, 23, 235, 670, 235, 670
0, 24, 251, 666, 251, 666
0, 25, 326, 729, 326, 729
0, 26, 348, 753, 348, 753
0, 27, 353, 811, 353, 811
0, 28, 287, 758, 287, 758
0, 29, 0, 9223372036854775807, 0, 9223372036854775807
0, 30, 0, 9223372036854775807, 0, 9223372036854775807
