Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 40, 50, 40, 50
0, 1, 55, 69, 55, 69
0, 2, 49, 62, 49, 62
0, 3, 57, 80, 57, 80
0, 4, 127, 232, 127, 232
0, 5, 103, 202, 103, 202
0, 6, 120, 208, 120, 208
0, 7, 55, 159, 55, 159
0, 8, 94, 218, 94, 218
0, 9, 131, 254, 131, 254
0, 10, 137, 282, 137, 282
0, 11, 202, 360, 202, 360
0, 12, 107, 234, 107, 234
0, 13, 115, 245, 115, 245
0, 14, 173, 363, 173, 363
0, 15, 175, 315, 175, 315
0, 16, 205, 364, 205, 364
0, 17, 249, 458, 249, 458
0, 18, 220, 386, 220, 386
0, 19, 261, 473, 261, 473
0, 20, 292, 512, 292, 512
