Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 19, 24, 19, 24
0, 1, 74, 93, 74, 93
0, 2, 78, 98, 78, 98
0, 3, 107, 135, 107, 135
0, 4, 134, 211, 134, 211
0, 5, 125, 200, 125, 200
0, 6, 142, 242, 142, 242
0, 7, 128, 232, 128, 232
0, 8, 152, 273, 152, 273
0, 9, 160, 284, 160, 284
0, 10, 169, 296, 169, 296
0, 11, 132, 247, 132, 247
0, 12, 166, 290, 166, 290
0, 13, 186, 322, 186, 322
0, 14, 214, 355, 214, 355
0, 15, 160, 307, 160, 307
0, 16, 193, 326, 193, 326
0, 17, 226, 370, 226, 370
0, 18, 199, 377, 199, 377
0, 19, 210, 392, 210, 392
0, 20, 225, 400, 225, 400
