Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 48, 61, 48, 61
0, 1, 87, 110, 87, 110
0, 2, 123, 155, 123, 155
0, 3, 152, 257, 152, 257
0, 4, 220, 418, 220, 418
0, 5, 212, 408, 212, 408
0, 6, 125, 260, 125, 260
0, 7, 158, 302, 158, 302
0, 8, 188, 387, 188, 387
0, 9, 203, 406, 203, 406
0, 10, 113, 143, 113, 143
0, 11, 174, 322, 174, 322
0, 12, 180, 407, 180, 407
0, 13, 212, 447, 212, 447
0, 14, 184, 426, 184, 426
0, 15, 223, 531, 223, 531
0, 16, 223, 531, 223, 531
0, 17, 240, 553, 240, 553
0, 18, 236, 535, 236, 535
0, 19, 271, 562, 271, 562
0, 20, 235, 560, 235, 560
0, 21, 240, 546, 240, 546
0, 22, 317, 618, 317, 618
0, 23, 242, 563, 242, 563
0, 24, 0, 9223372036854775807, 0, 9223372036854775807
