Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 71, 89, 71, 89
0, 1, 106, 133, 106, 133
0, 2, 78, 98, 78, 98
0, 3, 149, 187, 149, 187
0, 4, 149, 223, 149, 223
0, 5, 157, 233, 157, 233
0, 6, 159, 200, 159, 200
0, 7, 212, 277, 212, 277
0, 8, 241, 360, 241, 360
0, 9, 242, 361, 242, 361
0, 10, 187, 247, 187, 247
0, 11, 224, 340, 224, 340
0, 12, 287, 417, 287, 417
0, 13, 232, 371, 232, 371
0, 14, 259, 405, 259, 405
0, 15, 224, 423, 224, 423
0, 16, 249, 414, 249, 414
0, 17, 303, 438, 303, 438
0, 18, 377, 531, 377, 531
0, 19, 405, 566, 405, 566
