Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 9, 12, 9, 12
0, 1, 33, 42, 33, 42
0, 2, 35, 45, 35, 45
0, 3, 48, 62, 48, 62
0, 4, 112, 182, 112, 182
0, 5, 96, 162, 96, 162
0, 6, 79, 101, 79, 101
0, 7, 92, 157, 92, 157
0, 8, 138, 258, 138, 258
0, 9, 159, 284, 159, 284
0, 10, 129, 229, 129, 229
0, 11, 188, 340, 188, 340
0, 12, 154, 339, 154, 339
0, 13, 189, 383, 189, 383
0, 14, 128, 341, 128, 341
0, 15, 222, 421, 222, 421
0, 16, 268, 482, 268, 482
0, 17, 326, 555, 326, 555
0, 18, 0, 9223372036854775807, 0, 9223372036854775807
