Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 34, 43, 34, 43
0, 1, 66, 83, 66, 83
0, 2, 42, 54, 42, 54
0, 3, 118, 179, 118, 179
0, 4, 174, 328, 174, 328
0, 5, 188, 345, 188, 345
0, 6, 70, 151, 70, 151
0, 7, 77, 188, 77, 188
0, 8, 121, 326, 121, 326
0, 9, 95, 293, 95, 293
0, 10, 115, 246, 115, 246
0, 11, 153, 373, 153, 373
0, 12, 171, 479, 171, 479
0, 13, 207, 539, 207, 539
0, 14, 142, 374, 142, 374
0, 15, 144, 482, 144, 482
0, 16, 159, 501, 159, 501
0, 17, 208, 479, 208, 479
0, 18, 233, 582, 233, 582
0, 19, 269, 633, 269, 633
0, 20, 236, 586, 236, 586
0, 21, 267, 594, 267, 594
0, 22, 184, 618, 184, 618
0, 23, 270, 701, 270, 701
0, 24, 192, 660, 192, 660
0, 25, 336, 744, 336, 744
0, 26, 291, 690, 291, 690
0, 27, 351, 763, 351, 763
0, 28, 0, 9223372036854775807, 0, 9223372036854775807
