Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 12, 16, 12, 16
0, 1, 47, 60, 47, 60
0, 2, 81, 103, 81, 103
0, 3, 111, 141, 111, 141
0, 4, 131, 260, 131, 260
0, 5, 174, 313, 174, 313
0, 6, 186, 241, 186, 241
0, 7, 116, 147, 116, 147
0, 8, 172, 297, 172, 297
0, 9, 258, 387, 258, 387
0, 10, 262, 456, 262, 456
0, 11, 191, 320, 191, 320
0, 12, 264, 412, 264, 412
0, 13, 257, 449, 257, 449
0, 14, 265, 423, 265, 423
0, 15, 237, 459, 237, 459
0, 16, 306, 511, 306, 511
0, 17, 313, 520, 313, 520
0, 18, 289, 556, 289, 556
0, 19, 338, 552, 338, 552
0, 20, 387, 618, 387, 618
