Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 40, 50, 40, 50
0, 1, 73, 92, 73, 92
0, 2, 70, 88, 70, 88
0, 3, 74, 93, 74, 93
0, 4, 75, 125, 75, 125
0, 5, 129, 192, 129, 192
0, 6, 142, 179, 142, 179
0, 7, 128, 162, 128, 162
0, 8, 142, 238, 142, 238
0, 9, 177, 282, 177, 282
0, 10, 99, 155, 99, 155
0, 11, 151, 279, 151, 279
0, 12, 120, 260, 120, 260
0, 13, 98, 123, 98, 123
0, 14, 161, 271, 161, 271
0, 15, 208, 377, 208, 377
0, 16, 231, 427, 231, 427
0, 17, 104, 248, 104, 248
0, 18, 109, 323, 109, 323
0, 19, 156, 382, 156, 382
0, 20, 141, 333, 141, 333
0, 21, 216, 418, 216, 418
0, 22, 147, 323, 147, 323
0, 23, 232, 401, 232, 401
0, 24, 189, 384, 189, 384
0, 25, 292, 478, 292, 478
0, 26, 288, 491, 288, 491
0, 27, 268, 447, 268, 447
0, 28, 0, 9223372036854775807, 0, 9223372036854775807
0, 29, 0, 9223372036854775807, 0, 9223372036854775807
