Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 74, 93, 74, 93
0, 1, 131, 165, 131, 165
0, 2, 97, 122, 97, 122
0, 3, 151, 190, 151, 190
0, 4, 177, 207, 177, 207
0, 5, 159, 184, 159, 184
0, 6, 171, 215, 171, 215
0, 7, 155, 195, 155, 195
0, 8, 174, 198, 174, 198
0, 9, 193, 222, 193, 222
0, 10, 138, 174, 138, 174
0, 11, 199, 251, 199, 251
0, 12, 0, 9223372036854775807, 0, 9223372036854775807
0, 13, 0, 9223372036854775807, 0, 9223372036854775807
0, 14, 0, 9223372036854775807, 0, 9223372036854775807
0, 15, 0, 9223372036854775807, 0, 9223372036854775807
0, 16, 0, 9223372036854775807, 0, 9223372036854775807
0, 17, 0, 9223372036854775807, 0, 9223372036854775807
0, 18, 0, 9223372036854775807, 0, 9223372036854775807
