Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 76, 96, 76, 96
0, 1, 140, 177, 140, 177
0, 2, 140, 176, 140, 176
0, 3, 141, 178, 141, 178
0, 4, 217, 274, 217, 274
0, 5, 214, 270, 214, 270
0, 6, 146, 184, 146, 184
0, 7, 216, 273, 216, 273
0, 8, 250, 315, 250, 315
0, 9, 238, 300, 238, 300
0, 10, 187, 237, 187, 237
0, 11, 223, 282, 223, 282
0, 12, 248, 314, 248, 314
0, 13, 285, 361, 285, 361
0, 14, 0, 9223372036854775807, 0, 9223372036854775807
0, 15, 245, 272, 245, 272
0, 16, 0, 9223372036854775807, 0, 9223372036854775807
0, 17, 0, 9223372036854775807, 0, 9223372036854775807
0, 18, 0, 9223372036854775807, 0, 9223372036854775807
0, 19, 0, 9223372036854775807, 0, 9223372036854775807
