Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 74, 93, 74, 93
0, 1, 110, 139, 110, 139
0, 2, 140, 176, 140, 176
0, 3, 182, 254, 182, 254
0, 4, 238, 386, 238, 386
0, 5, 203, 343, 203, 343
0, 6, 219, 328, 219, 328
0, 7, 162, 289, 162, 289
0, 8, 226, 426, 226, 426
0, 9, 177, 365, 177, 365
0, 10, 130, 164, 130, 164
0, 11, 207, 261, 207, 261
0, 12, 235, 361, 235, 361
0, 13, 257, 406, 257, 406
0, 14, 234, 395, 234, 395
0, 15, 233, 379, 233, 379
0, 16, 182, 362, 182, 362
0, 17, 182, 415, 182, 415
0, 18, 188, 413, 188, 413
0, 19, 240, 470, 240, 470
0, 20, 163, 393, 163, 393
0, 21, 235, 518, 235, 518
0, 22, 163, 439, 163, 439
0, 23, 183, 423, 183, 423
0, 24, 266, 432, 266, 432
0, 25, 268, 445, 268, 445
0, 26, 303, 450, 303, 450
0, 27, 250, 405, 250, 405
0, 28, 265, 423, 265, 423
0, 29, 314, 450, 314, 450
0, 30, 0, 9223372036854775807, 0, 9223372036854775807
0, 31, 0, 9223372036854775807, 0, 9223372036854775807
