Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 58, 73, 58, 73
0, 1, 90, 114, 90, 114
0, 2, 68, 86, 68, 86
0, 3, 88, 111, 88, 111
0, 4, 160, 237, 160, 237
0, 5, 128, 197, 128, 197
0, 6, 116, 146, 116, 146
0, 7, 118, 149, 118, 149
0, 8, 186, 234, 186, 234
0, 9, 148, 187, 148, 187
0, 10, 109, 141, 109, 141
0, 11, 149, 191, 149, 191
0, 12, 167, 222, 167, 222
0, 13, 216, 308, 216, 308
0, 14, 198, 249, 198, 249
0, 15, 219, 299, 219, 299
0, 16, 271, 374, 271, 374
0, 17, 0, 9223372036854775807, 0, 9223372036854775807
