Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 16, 21, 16, 21
0, 1, 60, 77, 60, 77
0, 2, 56, 72, 56, 72
0, 3, 76, 97, 76, 97
0, 4, 108, 137, 108, 137
0, 5, 144, 183, 144, 183
0, 6, 70, 90, 70, 90
0, 7, 78, 108, 78, 108
0, 8, 79, 110, 79, 110
0, 9, 157, 207, 157, 207
0, 10, 33, 43, 33, 43
0, 11, 111, 141, 111, 141
0, 12, 167, 234, 167, 234
0, 13, 127, 189, 127, 189
0, 14, 171, 258, 171, 258
0, 15, 111, 141, 111, 141
0, 16, 134, 212, 134, 212
0, 17, 117, 215, 117, 215
0, 18, 207, 313, 207, 313
0, 19, 236, 333, 236, 333
0, 20, 171, 259, 171, 259
0, 21, 153, 243, 153, 243
0, 22, 314, 431, 314, 431
0, 23, 231, 334, 231, 334
0, 24, 325, 445, 325, 445
