Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 77, 97, 77, 97
0, 1, 99, 125, 99, 125
0, 2, 78, 99, 78, 99
0, 3, 147, 186, 147, 186
0, 4, 215, 256, 215, 256
0, 5, 150, 175, 150, 175
0, 6, 114, 145, 114, 145
0, 7, 117, 148, 117, 148
0, 8, 157, 199, 157, 199
0, 9, 177, 224, 177, 224
0, 10, 135, 171, 135, 171
0, 11, 142, 180, 142, 180
0, 12, 180, 204, 180, 204
0, 13, 0, 9223372036854775807, 0, 9223372036854775807
0, 14, 0, 9223372036854775807, 0, 9223372036854775807
0, 15, 0, 9223372036854775807, 0, 9223372036854775807
0, 16, 0, 9223372036854775807, 0, 9223372036854775807
0, 17, 0, 9223372036854775807, 0, 9223372036854775807
0, 18, 0, 9223372036854775807, 0, 9223372036854775807
0, 19, 0, 9223372036854775807, 0, 9223372036854775807
