Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 64, 81, 64, 81
0, 1, 137, 173, 137, 173
0, 2, 136, 172, 136, 172
0, 3, 151, 191, 151, 191
0, 4, 171, 198, 171, 198
0, 5, 227, 268, 227, 268
0, 6, 155, 196, 155, 196
0, 7, 0, 9223372036854775807, 0, 9223372036854775807
0, 8, 0, 9223372036854775807, 0, 9223372036854775807
0, 9, 0, 9223372036854775807, 0, 9223372036854775807
0, 10, 0, 9223372036854775807, 0, 9223372036854775807
0, 11, 0, 9223372036854775807, 0, 9223372036854775807
0, 12, 0, 9223372036854775807, 0, 9223372036854775807
0, 13, 0, 9223372036854775807, 0, 9223372036854775807
