Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 39, 49, 39, 49
0, 1, 95, 120, 95, 120
0, 2, 79, 99, 79, 99
0, 3, 107, 134, 107, 134
0, 4, 178, 287, 178, 287
0, 5, 171, 279, 171, 279
0, 6, 107, 134, 107, 134
0, 7, 111, 141, 111, 141
0, 8, 131, 224, 131, 224
0, 9, 175, 278, 175, 278
0, 10, 108, 137, 108, 137
0, 11, 179, 277, 179, 277
0, 12, 112, 231, 112, 231
0, 13, 160, 295, 160, 295
0, 14, 106, 133, 106, 133
0, 15, 148, 264, 148, 264
0, 16, 160, 353, 160, 353
0, 17, 224, 434, 224, 434
0, 18, 165, 362, 165, 362
0, 19, 185, 335, 185, 335
0, 20, 231, 418, 231, 418
0, 21, 203, 394, 203, 394
0, 22, 258, 486, 258, 486
0, 23, 255, 457, 255, 457
0, 24, 220, 417, 220, 417
0, 25, 200, 408, 200, 408
0, 26, 243, 459, 243, 459
0, 27, 317, 560, 317, 560
0, 28, 334, 557, 334, 557
0, 29, 328, 574, 328, 574
0, 30, 368, 617, 368, 617
