Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 74, 93, 74, 93
0, 1, 131, 165, 131, 165
0, 2, 97, 122, 97, 122
0, 3, 151, 190, 151, 190
0, 4, 177, 270, 177, 270
0, 5, 159, 247, 159, 247
0, 6, 171, 215, 171, 215
0, 7, 155, 195, 155, 195
0, 8, 174, 272, 174, 272
0, 9, 193, 296, 193, 296
0, 10, 138, 204, 138, 204
0, 11, 199, 299, 199, 299
0, 12, 229, 336, 229, 336
0, 13, 233, 365, 233, 365
0, 14, 205, 327, 205, 327
0, 15, 269, 397, 269, 397
0, 16, 238, 372, 238, 372
0, 17, 289, 422, 289, 422
0, 18, 299, 435, 299, 435
