Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 70, 88, 70, 88
0, 1, 120, 151, 120, 151
0, 2, 131, 165, 131, 165
0, 3, 157, 198, 157, 198
0, 4, 213, 293, 213, 293
0, 5, 177, 249, 177, 249
0, 6, 192, 242, 192, 242
0, 7, 169, 213, 169, 213
0, 8, 172, 239, 172, 239
0, 9, 222, 302, 222, 302
0, 10, 177, 256, 177, 256
0, 11, 185, 279, 185, 279
0, 12, 191, 297, 191, 297
0, 13, 239, 326, 239, 326
0, 14, 269, 361, 269, 361
0, 15, 230, 346, 230, 346
0, 16, 346, 458, 346, 458
0, 17, 0, 9223372036854775807, 0, 9223372036854775807
