Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 29, 37, 29, 37
0, 1, 35, 45, 35, 45
0, 2, 85, 108, 85, 108
0, 3, 133, 168, 133, 168
0, 4, 173, 298, 173, 298
0, 5, 209, 343, 209, 343
0, 6, 145, 192, 145, 192
0, 7, 162, 271, 162, 271
0, 8, 230, 418, 230, 418
0, 9, 214, 398, 214, 398
0, 10, 159, 277, 159, 277
0, 11, 159, 339, 159, 339
0, 12, 201, 392, 201, 392
0, 13, 93, 117, 93, 117
0, 14, 162, 292, 162, 292
0, 15, 226, 421, 226, 421
0, 16, 179, 366, 179, 366
0, 17, 230, 449, 230, 449
0, 18, 228, 428, 228, 428
0, 19, 146, 390, 146, 390
0, 20, 186, 440, 186, 440
0, 21, 204, 431, 204, 431
0, 22, 235, 451, 235, 451
0, 23, 219, 317, 219, 317
0, 24, 211, 392, 211, 392
0, 25, 230, 390, 230, 390
0, 26, 210, 401, 210, 401
0, 27, 257, 423, 257, 423
0, 28, 296, 368, 296, 368
0, 29, 278, 351, 278, 351
0, 30, 0, 9223372036854775807, 0, 9223372036854775807
0, 31, 0, 9223372036854775807, 0, 9223372036854775807
