Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 77, 97, 77, 97
0, 1, 99, 125, 99, 125
0, 2, 78, 99, 78, 99
0, 3, 147, 186, 147, 186
0, 4, 215, 298, 215, 298
0, 5, 150, 217, 150, 217
0, 6, 114, 145, 114, 145
0, 7, 117, 148, 117, 148
0, 8, 157, 222, 157, 222
0, 9, 177, 247, 177, 247
0, 10, 135, 171, 135, 171
0, 11, 142, 180, 142, 180
0, 12, 180, 237, 180, 237
0, 13, 199, 267, 199, 267
0, 14, 151, 236, 151, 236
0, 15, 231, 267, 231, 267
0, 16, 199, 275, 199, 275
0, 17, 247, 307, 247, 307
0, 18, 0, 9223372036854775807, 0, 9223372036854775807
0, 19, 0, 9223372036854775807, 0, 9223372036854775807
