Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 32, 40, 32, 40
0, 1, 55, 69, 55, 69
0, 2, 74, 93, 74, 93
0, 3, 125, 157, 125, 157
0, 4, 177, 265, 177, 265
0, 5, 160, 243, 160, 243
0, 6, 98, 123, 98, 123
0, 7, 149, 187, 149, 187
0, 8, 156, 254, 156, 254
0, 9, 174, 277, 174, 277
0, 10, 101, 127, 101, 127
0, 11, 158, 199, 158, 199
0, 12, 181, 279, 181, 279
0, 13, 206, 315, 206, 315
0, 14, 172, 283, 172, 283
0, 15, 217, 351, 217, 351
0, 16, 121, 183, 121, 183
0, 17, 194, 339, 194, 339
0, 18, 150, 298, 150, 298
0, 19, 187, 338, 187, 338
0, 20, 184, 341, 184, 341
0, 21, 214, 379, 214, 379
0, 22, 215, 385, 215, 385
0, 23, 285, 437, 285, 437
0, 24, 239, 407, 239, 407
0, 25, 287, 476, 287, 476
0, 26, 349, 518, 349, 518
0, 27, 414, 600, 414, 600
