Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 44, 55, 44, 55
0, 1, 60, 75, 60, 75
0, 2, 119, 149, 119, 149
0, 3, 197, 247, 197, 247
0, 4, 243, 305, 243, 305
0, 5, 262, 329, 262, 329
0, 6, 194, 254, 194, 254
0, 7, 120, 150, 120, 150
0, 8, 198, 248, 198, 248
0, 9, 219, 275, 219, 275
0, 10, 269, 337, 269, 337
0, 11, 129, 162, 129, 162
0, 12, 187, 235, 187, 235
0, 13, 156, 196, 156, 196
0, 14, 267, 336, 267, 336
0, 15, 282, 354, 282, 354
0, 16, 254, 319, 254, 319
0, 17, 288, 363, 288, 363
0, 18, 338, 425, 338, 425
0, 19, 384, 483, 384, 483
