Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 12, 16, 12, 16
0, 1, 31, 40, 31, 40
0, 2, 44, 56, 44, 56
0, 3, 75, 95, 75, 95
0, 4, 143, 181, 143, 181
0, 5, 131, 166, 131, 166
0, 6, 82, 104, 82, 104
0, 7, 96, 121, 96, 121
0, 8, 0, 9223372036854775807, 0, 9223372036854775807
0, 9, 0, 9223372036854775807, 0, 9223372036854775807
0, 10, 0, 9223372036854775807, 0, 9223372036854775807
0, 11, 0, 9223372036854775807, 0, 9223372036854775807
0, 12, 0, 9223372036854775807, 0, 9223372036854775807
0, 13, 0, 9223372036854775807, 0, 9223372036854775807
