Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 64, 80, 64, 80
0, 1, 109, 137, 109, 137
0, 2, 124, 156, 124, 156
0, 3, 164, 236, 164, 236
0, 4, 170, 322, 170, 322
0, 5, 199, 358, 199, 358
0, 6, 134, 229, 134, 229
0, 7, 156, 265, 156, 265
0, 8, 161, 350, 161, 350
0, 9, 184, 378, 184, 378
0, 10, 164, 290, 164, 290
0, 11, 212, 426, 212, 426
0, 12, 180, 389, 180, 389
0, 13, 215, 433, 215, 433
0, 14, 101, 127, 101, 127
0, 15, 178, 237, 178, 237
0, 16, 226, 384, 226, 384
0, 17, 246, 422, 246, 422
0, 18, 210, 398, 210, 398
0, 19, 242, 459, 242, 459
0, 20, 105, 330, 105, 330
0, 21, 172, 466, 172, 466
0, 22, 133, 422, 133, 422
0, 23, 150, 439, 150, 439
0, 24, 248, 470, 248, 470
0, 25, 201, 444, 201, 444
0, 26, 223, 444, 223, 444
0, 27, 307, 509, 307, 509
0, 28, 235, 511, 235, 511
0, 29, 315, 413, 315, 413
0, 30, 343, 402, 343, 402
0, 31, 0, 9223372036854775807, 0, 9223372036854775807
