# file name, schedulable?, #jobs, #states, #edges, max width, CPU time, memory, timeout, #CPUs, Total Sched
..\tests\temp_000.csv,  1,  28,  148,  301,  0,  4.356000,  0,  4,  1
..\tests\temp_001.csv,  1,  19,  63,  118,  0,  0.605000,  0,  4,  2
..\tests\temp_002.csv,  1,  16,  28,  38,  0,  0.144000,  0,  4,  3
..\tests\temp_003.csv,  1,  21,  75,  135,  0,  0.926000,  0,  4,  4
..\tests\temp_004.csv,  1,  22,  70,  124,  0,  0.955000,  0,  4,  5
..\tests\temp_005.csv,  1,  31,  1082,  3828,  0,  126.223000,  0,  4,  6
..\tests\temp_006.csv,  1,  20,  66,  117,  0,  0.720000,  0,  4,  7
..\tests\temp_007.csv,  1,  12,  17,  20,  0,  0.045000,  0,  4,  8
..\tests\temp_008.csv,  1,  22,  55,  87,  0,  0.758000,  0,  4,  9
..\tests\temp_009.csv,  1,  24,  88,  151,  0,  1.515000,  0,  4,  10
..\tests\temp_010.csv,  1,  24,  96,  166,  0,  1.801000,  0,  4,  11
..\tests\temp_011.csv,  1,  27,  421,  1001,  0,  15.747000,  0,  4,  12
..\tests\temp_012.csv,  1,  16,  21,  24,  0,  0.114000,  0,  4,  13
..\tests\temp_013.csv,  1,  18,  75,  153,  0,  0.692000,  0,  4,  14
..\tests\temp_014.csv,  1,  29,  284,  652,  0,  11.344000,  0,  4,  15
..\tests\temp_015.csv,  1,  32,  540,  1626,  0,  40.790000,  0,  4,  16
..\tests\temp_016.csv,  1,  15,  26,  35,  0,  0.127000,  0,  4,  17
..\tests\temp_017.csv,  1,  21,  59,  99,  0,  0.723000,  0,  4,  18
..\tests\temp_018.csv,  1,  32,  1402,  4860,  0,  202.535000,  0,  4,  19
..\tests\temp_019.csv,  1,  21,  61,  101,  0,  0.734000,  0,  4,  20
..\tests\temp_020.csv,  1,  16,  18,  18,  0,  0.091000,  0,  4,  21
..\tests\temp_021.csv,  1,  22,  83,  152,  0,  1.205000,  0,  4,  22
..\tests\temp_022.csv,  1,  18,  24,  27,  0,  0.169000,  0,  4,  23
..\tests\temp_023.csv,  1,  31,  639,  1955,  0,  48.165000,  0,  4,  24
..\tests\temp_024.csv,  1,  27,  430,  1008,  0,  16.243000,  0,  4,  25
..\tests\temp_025.csv,  1,  17,  42,  64,  0,  0.279000,  0,  4,  26
..\tests\temp_026.csv,  1,  20,  52,  86,  0,  0.549000,  0,  4,  27
..\tests\temp_027.csv,  1,  12,  13,  12,  0,  0.032000,  0,  4,  28
..\tests\temp_028.csv,  1,  17,  31,  40,  0,  0.209000,  0,  4,  29
..\tests\temp_029.csv,  1,  29,  481,  1128,  0,  22.082000,  0,  4,  30
..\tests\temp_030.csv,  1,  22,  62,  107,  0,  0.862000,  0,  4,  31
..\tests\temp_031.csv,  1,  11,  12,  11,  0,  0.025000,  0,  4,  32
..\tests\temp_032.csv,  1,  21,  73,  136,  0,  0.984000,  0,  4,  33
..\tests\temp_033.csv,  1,  12,  13,  12,  0,  0.032000,  0,  4,  34
..\tests\temp_034.csv,  1,  12,  17,  20,  0,  0.046000,  0,  4,  35
..\tests\temp_035.csv,  1,  30,  353,  763,  0,  15.565000,  0,  4,  36
..\tests\temp_036.csv,  1,  30,  446,  1120,  0,  22.085000,  0,  4,  37
..\tests\temp_037.csv,  1,  32,  969,  3101,  0,  101.082000,  0,  4,  38
..\tests\temp_038.csv,  1,  11,  15,  17,  0,  0.033000,  0,  4,  39
..\tests\temp_039.csv,  1,  17,  31,  42,  0,  0.203000,  0,  4,  40
..\tests\temp_040.csv,  1,  11,  12,  11,  0,  0.024000,  0,  4,  41
..\tests\temp_041.csv,  1,  30,  406,  913,  0,  19.447000,  0,  4,  42
..\tests\temp_042.csv,  1,  18,  41,  64,  0,  0.324000,  0,  4,  43
..\tests\temp_043.csv,  1,  28,  176,  350,  0,  5.161000,  0,  4,  44
..\tests\temp_044.csv,  1,  23,  95,  182,  0,  1.587000,  0,  4,  45
..\tests\temp_045.csv,  1,  14,  17,  18,  0,  0.063000,  0,  4,  46
..\tests\temp_046.csv,  1,  29,  465,  1001,  0,  19.258000,  0,  4,  47
..\tests\temp_047.csv,  1,  28,  357,  849,  0,  14.296000,  0,  4,  48
..\tests\temp_048.csv,  1,  21,  58,  96,  0,  0.680000,  0,  4,  49
..\tests\temp_049.csv,  1,  11,  15,  17,  0,  0.031000,  0,  4,  50
..\tests\temp_050.csv,  1,  20,  88,  166,  0,  1.013000,  0,  4,  51
..\tests\temp_051.csv,  1,  21,  52,  87,  0,  0.606000,  0,  4,  52
..\tests\temp_052.csv,  1,  14,  20,  24,  0,  0.076000,  0,  4,  53
..\tests\temp_053.csv,  1,  12,  13,  12,  0,  0.036000,  0,  4,  54
..\tests\temp_054.csv,  1,  16,  24,  30,  0,  0.136000,  0,  4,  55
..\tests\temp_055.csv,  1,  23,  73,  125,  0,  1.109000,  0,  4,  56
..\tests\temp_056.csv,  1,  17,  42,  65,  0,  0.274000,  0,  4,  57
..\tests\temp_057.csv,  1,  23,  74,  119,  0,  1.107000,  0,  4,  58
