Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 2, 3, 2, 3
0, 1, 18, 23, 18, 23
0, 2, 17, 22, 17, 22
0, 3, 58, 74, 58, 74
0, 4, 95, 163, 95, 163
0, 5, 68, 129, 68, 129
0, 6, 92, 116, 92, 116
0, 7, 16, 21, 16, 21
0, 8, 65, 83, 65, 83
0, 9, 127, 161, 127, 161
0, 10, 141, 179, 141, 179
0, 11, 109, 171, 109, 171
0, 12, 160, 214, 160, 214
0, 13, 68, 87, 68, 87
0, 14, 111, 141, 111, 141
0, 15, 72, 92, 72, 92
0, 16, 105, 139, 105, 139
0, 17, 134, 212, 134, 212
0, 18, 213, 281, 213, 281
0, 19, 171, 216, 171, 216
0, 20, 144, 225, 144, 225
0, 21, 281, 366, 281, 366
0, 22, 358, 463, 358, 463
