Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 4, 6, 4, 6
0, 1, 74, 94, 74, 94
0, 2, 73, 93, 73, 93
0, 3, 83, 107, 83, 107
0, 4, 84, 135, 84, 135
0, 5, 140, 205, 140, 205
0, 6, 142, 206, 142, 206
0, 7, 39, 50, 39, 50
0, 8, 111, 141, 111, 141
0, 9, 180, 228, 180, 228
0, 10, 130, 175, 130, 175
0, 11, 139, 211, 139, 211
0, 12, 58, 74, 58, 74
0, 13, 122, 154, 122, 154
0, 14, 108, 157, 108, 157
0, 15, 94, 181, 94, 181
0, 16, 148, 216, 148, 216
0, 17, 192, 243, 192, 243
0, 18, 181, 255, 181, 255
0, 19, 225, 313, 225, 313
0, 20, 243, 319, 243, 319
0, 21, 287, 375, 287, 375
