Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 75, 94, 75, 94
0, 1, 133, 167, 133, 167
0, 2, 84, 106, 84, 106
0, 3, 148, 186, 148, 186
0, 4, 223, 360, 223, 360
0, 5, 168, 292, 168, 292
0, 6, 104, 131, 104, 131
0, 7, 155, 220, 155, 220
0, 8, 166, 304, 166, 304
0, 9, 227, 381, 227, 381
0, 10, 133, 192, 133, 192
0, 11, 170, 239, 170, 239
0, 12, 190, 336, 190, 336
0, 13, 206, 365, 206, 365
0, 14, 209, 341, 209, 341
0, 15, 217, 394, 217, 394
0, 16, 265, 465, 265, 465
0, 17, 225, 441, 225, 441
0, 18, 173, 351, 173, 351
0, 19, 237, 465, 237, 465
0, 20, 243, 492, 243, 492
0, 21, 196, 461, 196, 461
0, 22, 225, 468, 225, 468
0, 23, 235, 449, 235, 449
0, 24, 250, 471, 250, 471
0, 25, 241, 494, 241, 494
0, 26, 281, 488, 281, 488
0, 27, 258, 511, 258, 511
0, 28, 324, 569, 324, 569
0, 29, 289, 522, 289, 522
0, 30, 344, 595, 344, 595
